X,CH1,CH2,
-4.52000e-01,3.20e-01,2.60e+00,
-4.51927e-01,3.20e-01,2.60e+00,
-4.51854e-01,3.20e-01,2.60e+00,
-4.51780e-01,3.20e-01,2.60e+00,
-4.51707e-01,3.20e-01,2.60e+00,
-4.51634e-01,3.20e-01,2.60e+00,
-4.51561e-01,3.20e-01,2.60e+00,
-4.51487e-01,3.20e-01,2.60e+00,
-4.51414e-01,3.20e-01,2.60e+00,
-4.51341e-01,3.20e-01,2.60e+00,
-4.51268e-01,3.20e-01,2.60e+00,
-4.51194e-01,3.20e-01,2.60e+00,
-4.51121e-01,3.20e-01,2.60e+00,
-4.51048e-01,3.20e-01,2.60e+00,
-4.50975e-01,3.20e-01,2.60e+00,
-4.50901e-01,3.20e-01,2.60e+00,
-4.50828e-01,2.64e-01,2.58e+00,
-4.50755e-01,2.96e-01,2.58e+00,
-4.50682e-01,3.12e-01,2.60e+00,
-4.50608e-01,3.04e-01,2.62e+00,
-4.50535e-01,3.20e-01,2.58e+00,
-4.50462e-01,2.88e-01,2.62e+00,
-4.50389e-01,3.52e-01,2.62e+00,
-4.50315e-01,2.96e-01,2.60e+00,
-4.50242e-01,3.36e-01,2.62e+00,
-4.50169e-01,3.68e-01,2.60e+00,
-4.50096e-01,3.60e-01,2.58e+00,
-4.50022e-01,4.24e-01,2.60e+00,
-4.49949e-01,4.08e-01,2.62e+00,
-4.49876e-01,3.44e-01,2.60e+00,
-4.49803e-01,3.60e-01,2.60e+00,
-4.49729e-01,3.76e-01,2.62e+00,
-4.49656e-01,3.20e-01,2.62e+00,
-4.49583e-01,2.96e-01,2.60e+00,
-4.49510e-01,3.76e-01,2.60e+00,
-4.49437e-01,3.92e-01,2.62e+00,
-4.49363e-01,3.92e-01,2.60e+00,
-4.49290e-01,4.00e-01,2.62e+00,
-4.49217e-01,3.68e-01,2.62e+00,
-4.49144e-01,3.20e-01,2.60e+00,
-4.49070e-01,3.12e-01,2.60e+00,
-4.48997e-01,2.96e-01,2.60e+00,
-4.48924e-01,3.60e-01,2.60e+00,
-4.48851e-01,3.68e-01,2.60e+00,
-4.48777e-01,4.56e-01,2.62e+00,
-4.48704e-01,5.04e-01,2.60e+00,
-4.48631e-01,4.56e-01,2.62e+00,
-4.48558e-01,3.44e-01,2.62e+00,
-4.48484e-01,3.04e-01,2.62e+00,
-4.48411e-01,3.12e-01,2.62e+00,
-4.48338e-01,2.80e-01,2.60e+00,
-4.48265e-01,3.28e-01,2.60e+00,
-4.48191e-01,3.76e-01,2.62e+00,
-4.48118e-01,4.16e-01,2.62e+00,
-4.48045e-01,3.36e-01,2.60e+00,
-4.47972e-01,3.36e-01,2.62e+00,
-4.47898e-01,3.20e-01,2.60e+00,
-4.47825e-01,3.20e-01,2.62e+00,
-4.47752e-01,4.16e-01,2.60e+00,
-4.47679e-01,5.04e-01,2.62e+00,
-4.47605e-01,4.16e-01,2.62e+00,
-4.47532e-01,2.72e-01,2.62e+00,
-4.47459e-01,2.32e-01,2.60e+00,
-4.47386e-01,2.80e-01,2.62e+00,
-4.47313e-01,3.52e-01,2.62e+00,
-4.47239e-01,4.16e-01,2.62e+00,
-4.47166e-01,4.32e-01,2.60e+00,
-4.47093e-01,3.92e-01,2.62e+00,
-4.47020e-01,3.52e-01,2.60e+00,
-4.46946e-01,3.52e-01,2.62e+00,
-4.46873e-01,3.44e-01,2.62e+00,
-4.46800e-01,3.44e-01,2.62e+00,
-4.46727e-01,3.20e-01,2.62e+00,
-4.46653e-01,3.60e-01,2.62e+00,
-4.46580e-01,3.52e-01,2.62e+00,
-4.46507e-01,3.36e-01,2.62e+00,
-4.46434e-01,3.60e-01,2.62e+00,
-4.46360e-01,3.60e-01,2.62e+00,
-4.46287e-01,3.60e-01,2.62e+00,
-4.46214e-01,3.52e-01,2.62e+00,
-4.46141e-01,3.60e-01,2.60e+00,
-4.46067e-01,3.44e-01,2.62e+00,
-4.45994e-01,3.68e-01,2.62e+00,
-4.45921e-01,3.52e-01,2.62e+00,
-4.45848e-01,3.68e-01,2.62e+00,
-4.45774e-01,3.60e-01,2.62e+00,
-4.45701e-01,3.76e-01,2.62e+00,
-4.45628e-01,3.60e-01,2.62e+00,
-4.45555e-01,3.92e-01,2.62e+00,
-4.45481e-01,3.68e-01,2.62e+00,
-4.45408e-01,3.68e-01,2.62e+00,
-4.45335e-01,3.52e-01,2.62e+00,
-4.45262e-01,3.68e-01,2.62e+00,
-4.45188e-01,3.60e-01,2.62e+00,
-4.45115e-01,3.68e-01,2.62e+00,
-4.45042e-01,3.76e-01,2.62e+00,
-4.44969e-01,3.60e-01,2.62e+00,
-4.44896e-01,3.60e-01,2.62e+00,
-4.44822e-01,3.60e-01,2.62e+00,
-4.44749e-01,3.52e-01,2.62e+00,
-4.44676e-01,3.76e-01,2.62e+00,
-4.44603e-01,3.60e-01,2.62e+00,
-4.44529e-01,3.52e-01,2.62e+00,
-4.44456e-01,3.60e-01,2.62e+00,
-4.44383e-01,3.60e-01,2.62e+00,
-4.44310e-01,3.44e-01,2.62e+00,
-4.44236e-01,3.68e-01,2.62e+00,
-4.44163e-01,3.60e-01,2.60e+00,
-4.44090e-01,3.76e-01,2.62e+00,
-4.44017e-01,3.52e-01,2.62e+00,
-4.43943e-01,3.60e-01,2.60e+00,
