#d[um],A[uW],errA[uW]
0,270,20
200,270,20
500,270,20
750,280,20
1000,270,20
1250,250,10
1500,240,10
1750,240,10
2000,220,10
2250,220,10
2500,200,10
2600,190,10
2700,180,10
2800,170,10
2900,160,10
3000,150,10
3100,135,10
3200,120,10
3300,115,10
3400,100,10
3500,90,5
3600,75,5
3700,65,5
3800,55,5
3900,45,5
4000,35,5
4100,30,5
4200,25,5
4300,20,5
4400,15,5
4500,10,5
4600,9,1
4700,8.5,0.5
4800,6.5,0.5
4900,5.5,0.5
5000,4.5,0.5
5100,3.5,0.5
5200,2.5,0.5
5300,2.0,0.5
5400,1.5,0.5
5500,1.2,0.2
5600,1.0,0.1
5700,0.7,0.1

4200,25,5
