#d[um],V[V],DeltaV
0,270,30
200,270,30
400,270,30
600,270,30
800,270,30
1000,260,30
1200,250,30
1400,240,30
1600,230,30
1800,220,30
2000,190,30
2100,180,30
2200,170,30
2300,160,30
2400,150,30
2500,140,30
2600,120,30
2700,95,10
2800,90,10
2900,75,10
3000,65,10
3100,55,10
3200,45,10
3300,35,10
3400,30,10
3500,22,2
3600,20,2
3700,16,2
3800,17,2
3900,11,2
4000,9,1
4100,8,1
4200,6,1
4300,5,1
4400,4,1
4500,3,1
4600,2,1
4700,2.0,0.5
4800,1.8,0.5
4900,1.4,0.2
5000,1.3,0.2
5100,1.1,0.1
5200,0.6,0.1
5300,0.4,0.1
5400,0.3,0.1
