X,CH1,
Second,Volt,
-7.39840e-01,3.20e-02,
-7.39740e-01,3.20e-02,
-7.39640e-01,3.20e-02,
-7.39540e-01,3.20e-02,
-7.39440e-01,3.20e-02,
-7.39340e-01,3.20e-02,
-7.39240e-01,3.20e-02,
-7.39140e-01,3.20e-02,
-7.39040e-01,3.20e-02,
-7.38940e-01,3.20e-02,
-7.38840e-01,3.20e-02,
-7.38740e-01,3.20e-02,
-7.38640e-01,3.20e-02,
-7.38540e-01,3.20e-02,
-7.38440e-01,3.20e-02,
-7.38340e-01,3.20e-02,
-7.38240e-01,3.20e-02,
-7.38140e-01,3.20e-02,
-7.38040e-01,3.20e-02,
-7.37940e-01,3.20e-02,
-7.37840e-01,3.20e-02,
-7.37740e-01,3.20e-02,
-7.37640e-01,3.20e-02,
-7.37540e-01,3.20e-02,
-7.37440e-01,3.20e-02,
-7.37340e-01,3.20e-02,
-7.37240e-01,3.20e-02,
-7.37140e-01,3.20e-02,
-7.37040e-01,3.20e-02,
-7.36940e-01,3.20e-02,
-7.36840e-01,3.20e-02,
-7.36740e-01,3.20e-02,
-7.36640e-01,3.20e-02,
-7.36540e-01,3.20e-02,
-7.36440e-01,3.20e-02,
-7.36340e-01,3.20e-02,
-7.36240e-01,3.20e-02,
-7.36140e-01,3.20e-02,
-7.36040e-01,3.20e-02,
-7.35940e-01,3.20e-02,
-7.35840e-01,3.20e-02,
-7.35740e-01,4.00e-02,
-7.35640e-01,4.00e-02,
-7.35540e-01,4.80e-02,
-7.35440e-01,4.80e-02,
-7.35340e-01,4.80e-02,
-7.35240e-01,5.60e-02,
-7.35140e-01,7.20e-02,
-7.35040e-01,7.20e-02,
-7.34940e-01,8.00e-02,
-7.34840e-01,8.80e-02,
-7.34740e-01,8.80e-02,
-7.34640e-01,9.60e-02,
-7.34540e-01,1.04e-01,
-7.34440e-01,1.20e-01,
-7.34340e-01,1.12e-01,
-7.34240e-01,1.20e-01,
-7.34140e-01,1.36e-01,
-7.34040e-01,1.44e-01,
-7.33940e-01,1.52e-01,
-7.33840e-01,1.68e-01,
-7.33740e-01,1.76e-01,
-7.33640e-01,1.84e-01,
-7.33540e-01,1.92e-01,
-7.33440e-01,2.16e-01,
-7.33340e-01,2.40e-01,
-7.33240e-01,2.56e-01,
-7.33140e-01,2.72e-01,
-7.33040e-01,2.88e-01,
-7.32940e-01,3.12e-01,
-7.32840e-01,3.28e-01,
-7.32740e-01,3.52e-01,
-7.32640e-01,3.68e-01,
-7.32540e-01,4.00e-01,
-7.32440e-01,4.16e-01,
-7.32340e-01,4.40e-01,
-7.32240e-01,4.72e-01,
-7.32140e-01,4.96e-01,
-7.32040e-01,5.20e-01,
-7.31940e-01,5.52e-01,
-7.31840e-01,5.68e-01,
-7.31740e-01,6.00e-01,
-7.31640e-01,6.24e-01,
-7.31540e-01,6.40e-01,
-7.31440e-01,6.64e-01,
-7.31340e-01,6.80e-01,
-7.31240e-01,7.12e-01,
-7.31140e-01,7.28e-01,
-7.31040e-01,7.44e-01,
-7.30940e-01,7.68e-01,
-7.30840e-01,7.92e-01,
-7.30740e-01,8.00e-01,
-7.30640e-01,8.24e-01,
-7.30540e-01,8.32e-01,
-7.30440e-01,8.48e-01,
-7.30340e-01,8.64e-01,
-7.30240e-01,8.80e-01,
-7.30140e-01,8.96e-01,
-7.30040e-01,8.96e-01,
-7.29940e-01,9.04e-01,
-7.29840e-01,9.12e-01,
-7.29740e-01,9.20e-01,
-7.29640e-01,9.20e-01,
-7.29540e-01,9.28e-01,
-7.29440e-01,9.36e-01,
-7.29340e-01,9.36e-01,
-7.29240e-01,9.44e-01,
-7.29140e-01,9.44e-01,
-7.29040e-01,9.44e-01,
-7.28940e-01,9.52e-01,
-7.28840e-01,9.44e-01,
-7.28740e-01,9.52e-01,
-7.28640e-01,9.52e-01,
-7.28540e-01,9.52e-01,
-7.28440e-01,9.44e-01,
-7.28340e-01,9.44e-01,
-7.28240e-01,9.44e-01,
-7.28140e-01,9.44e-01,
-7.28040e-01,9.52e-01,
-7.27940e-01,9.44e-01,
-7.27840e-01,9.44e-01,
-7.27740e-01,9.44e-01,
-7.27640e-01,9.52e-01,
-7.27540e-01,9.52e-01,
-7.27440e-01,9.52e-01,
-7.27340e-01,9.52e-01,
-7.27240e-01,9.52e-01,
-7.27140e-01,9.60e-01,
-7.27040e-01,9.60e-01,
-7.26940e-01,9.60e-01,
-7.26840e-01,9.60e-01,
-7.26740e-01,9.60e-01,
-7.26640e-01,9.60e-01,
-7.26540e-01,9.60e-01,
-7.26440e-01,9.60e-01,
-7.26340e-01,9.60e-01,
-7.26240e-01,9.60e-01,
-7.26140e-01,9.60e-01,
-7.26040e-01,9.60e-01,
-7.25940e-01,9.60e-01,
-7.25840e-01,9.52e-01,
